component_name,blood_type,date,required,supplied,received,expired,final_stock
rbc,A+,2006-01-01,232,232,2264,0,2032
rbc,A+,2006-01-02,391,391,25,0,1666
rbc,A+,2006-01-03,206,206,11,0,1471
rbc,A+,2006-01-04,226,226,28,0,1273
rbc,A+,2006-01-05,124,124,22,0,1171
rbc,A+,2006-01-06,388,388,2235,0,3018
rbc,A+,2006-01-07,265,265,14,0,2767
rbc,A+,2006-01-08,331,331,27,0,2463
rbc,A+,2006-01-09,451,451,47,0,2059
rbc,A+,2006-01-10,224,224,18,0,1853
rbc,A+,2006-01-11,692,692,2693,0,3854
rbc,A+,2006-01-12,374,374,24,0,3504
rbc,A+,2006-01-13,894,894,35,0,2645
rbc,A+,2006-01-14,429,429,38,0,2254
rbc,A+,2006-01-15,215,215,16,0,2055
rbc,A+,2006-01-16,407,407,1101,0,2749
rbc,A+,2006-01-17,154,154,19,0,2614
rbc,A+,2006-01-18,226,226,20,0,2408
rbc,A+,2006-01-19,111,111,15,0,2312
rbc,A+,2006-01-20,186,186,14,0,2140
rbc,A+,2006-01-21,186,186,2464,0,4418
rbc,A+,2006-01-22,271,271,28,0,4175
rbc,A+,2006-01-23,345,345,18,0,3848
rbc,A+,2006-01-24,225,225,20,0,3643
rbc,A+,2006-01-25,215,215,19,0,3447
rbc,A+,2006-01-26,350,350,1659,0,4756
rbc,A+,2006-01-27,439,439,25,0,4342
rbc,A+,2006-01-28,146,146,8,0,4204
rbc,A+,2006-01-29,331,331,29,0,3902
rbc,A+,2006-01-30,257,257,19,0,3664
rbc,A+,2006-01-31,292,292,1169,0,4541
rbc,A+,2006-02-01,167,167,27,0,4401
rbc,A+,2006-02-02,83,83,10,0,4328
rbc,A+,2006-02-03,146,146,9,0,4191
rbc,A+,2006-02-04,253,253,33,0,3971
rbc,A+,2006-02-05,384,384,1841,0,5428
rbc,A+,2006-02-06,395,395,24,0,5057
rbc,A+,2006-02-07,243,243,28,0,4842
rbc,A+,2006-02-08,235,235,18,0,4625
rbc,A+,2006-02-09,216,216,20,0,4429
rbc,A+,2006-02-10,132,132,15,0,4312
rbc,A+,2006-02-11,151,151,18,0,4179
rbc,A+,2006-02-12,292,292,2044,0,5931
rbc,A+,2006-02-13,114,114,14,0,5831
rbc,A+,2006-02-14,135,135,20,0,5716
rbc,A+,2006-02-15,121,121,11,0,5606
rbc,A+,2006-02-16,199,199,22,25,5404
rbc,A+,2006-02-17,228,228,18,0,5194
rbc,A+,2006-02-18,1079,1079,24,0,4139
rbc,A+,2006-02-19,495,495,44,0,3688
rbc,A+,2006-02-20,497,497,29,0,3220
rbc,A+,2006-02-21,558,558,18,0,2680
rbc,A+,2006-02-22,1396,1396,75,0,1359
rbc,A+,2006-02-23,416,416,2762,0,3705
rbc,A+,2006-02-24,284,284,16,0,3437
rbc,A+,2006-02-25,174,174,15,0,3278
rbc,A+,2006-02-26,141,141,10,0,3147
rbc,A+,2006-02-27,272,272,26,0,2901
rbc,A+,2006-02-28,125,125,2858,0,5634
rbc,A+,2006-03-01,155,155,16,0,5495
rbc,A+,2006-03-02,140,140,16,0,5371
rbc,A+,2006-03-03,500,500,56,0,4927
rbc,A+,2006-03-04,362,362,30,0,4595
rbc,A+,2006-03-05,131,131,10,0,4474
rbc,A+,2006-03-06,303,303,19,0,4190
rbc,A+,2006-03-07,130,130,10,0,4070
rbc,A+,2006-03-08,44,44,1216,0,5242
rbc,A+,2006-03-09,118,118,11,0,5135
rbc,A+,2006-03-10,613,613,33,0,4555
rbc,A+,2006-03-11,231,231,14,0,4338
rbc,A+,2006-03-12,363,363,31,0,4006
rbc,A+,2006-03-13,374,374,29,0,3661
rbc,A+,2006-03-14,125,125,13,0,3549
rbc,A+,2006-03-15,304,304,1665,0,4910
rbc,A+,2006-03-16,296,296,27,0,4641
rbc,A+,2006-03-17,224,224,15,0,4432
rbc,A+,2006-03-18,344,344,18,0,4106
rbc,A+,2006-03-19,948,948,71,0,3229
rbc,A+,2006-03-20,162,162,1360,0,4427
rbc,A+,2006-03-21,114,114,11,0,4324
rbc,A+,2006-03-22,197,197,23,0,4150
rbc,A+,2006-03-23,153,153,19,0,4016
rbc,A+,2006-03-24,130,130,20,0,3906
rbc,A+,2006-03-25,240,240,2762,0,6428
rbc,A+,2006-03-26,253,253,19,0,6194
rbc,A+,2006-03-27,120,120,11,0,6085
rbc,A+,2006-03-28,328,328,26,0,5783
rbc,A+,2006-03-29,122,122,7,0,5668
rbc,A+,2006-03-30,284,284,31,0,5415
rbc,A+,2006-03-31,366,366,22,0,5071
rbc,A+,2006-04-01,177,177,14,0,4908
rbc,A+,2006-04-02,69,69,11,0,4850
rbc,A+,2006-04-03,266,266,22,0,4606
rbc,A+,2006-04-04,197,197,17,0,4426
rbc,A+,2006-04-05,127,127,22,0,4321
rbc,A+,2006-04-06,208,208,2809,0,6922
rbc,A+,2006-04-07,71,71,10,0,6861
rbc,A+,2006-04-08,115,115,7,0,6753
rbc,A+,2006-04-09,198,198,24,0,6579
